"ensembl_gene_id"	"go_id"	"go_term_name"	"go_term_type"	"gene_biotype"
"119"	"TGME49-310190"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"120"	"TGME49-310190"	"GO:0006468"	"protein phosphorylation"	"biological_process"	"protein_coding"
"121"	"TGME49-310190"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"122"	"TGME49-269330"	""	""	""	"protein_coding"
"123"	"TGME49-270690"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	"molecular_function"	"protein_coding"
"124"	"TGME49-229930"	""	""	""	"protein_coding"
"125"	"TGME49-269350"	""	""	""	"protein_coding"
"126"	"TGME49-316590"	""	""	""	"tRNA"
"127"	"TGME49-226610"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"128"	"TGME49-226610"	"GO:0005856"	"cytoskeleton"	"cellular_component"	"protein_coding"
"129"	"TGME49-250360"	"GO:0008152"	"metabolic process"	"biological_process"	"protein_coding"
"130"	"TGME49-250360"	"GO:0004806"	"triglyceride lipase activity"	"molecular_function"	"protein_coding"
"131"	"TGME49-250360"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"132"	"TGME49-278530"	"GO:0043565"	"sequence-specific DNA binding"	"molecular_function"	"protein_coding"
"133"	"TGME49-278530"	"GO:0003677"	"DNA binding"	"molecular_function"	"protein_coding"
"134"	"TGME49-225745"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"135"	"TGME49-225745"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"136"	"TGME49-223540"	"GO:0008536"	"GO_0008536"	"go"	"protein_coding"
"137"	"TGME49-223540"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"138"	"TGME49-223540"	"GO:0006886"	"intracellular protein transport"	"biological_process"	"protein_coding"
"139"	"TGME49-223540"	"GO:0031267"	"small GTPase binding"	"molecular_function"	"protein_coding"
"140"	"TGME49-309200"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"141"	"TGME49-224845"	""	""	""	"protein_coding"
"142"	"TGME49-225480"	""	""	""	"protein_coding"
"143"	"TGME49-228480"	""	""	""	"protein_coding"
"144"	"TGME49-228120"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"145"	"TGME49-228120"	"GO:0003677"	"DNA binding"	"molecular_function"	"protein_coding"
"146"	"TGME49-228120"	"GO:0009725"	"response to hormone"	"biological_process"	"protein_coding"
"147"	"TGME49-228120"	"GO:0006355"	"regulation of transcription, DNA-templated"	"biological_process"	"protein_coding"
"148"	"TGME49-228120"	"GO:0006397"	"mRNA processing"	"biological_process"	"protein_coding"
"149"	"TGME49-228120"	"GO:0061630"	"ubiquitin protein ligase activity"	"molecular_function"	"protein_coding"
"150"	"TGME49-228120"	"GO:0016567"	"protein ubiquitination"	"biological_process"	"protein_coding"
"151"	"TGME49-216785"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"152"	"TGME49-216785"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"153"	"TGME49-224540"	""	""	""	"protein_coding"
"154"	"TGME49-219110"	""	""	""	"protein_coding"
"155"	"TGME49-312105"	""	""	""	"protein_coding"
"156"	"TGME49-232450"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"157"	"TGME49-232450"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"158"	"TGME49-232450"	"GO:0070615"	"nucleosome-dependent ATPase activity"	"molecular_function"	"protein_coding"
"159"	"TGME49-247610"	"GO:0030529"	"GO_0030529"	"go"	"protein_coding"
"160"	"TGME49-247610"	"GO:0003723"	"RNA binding"	"molecular_function"	"protein_coding"
"161"	"TGME49-247610"	"GO:0006397"	"mRNA processing"	"biological_process"	"protein_coding"
"162"	"TGME49-247610"	"GO:0008380"	"RNA splicing"	"biological_process"	"protein_coding"
"163"	"TGME49-247610"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"164"	"TGME49-247610"	"GO:0005681"	"spliceosomal complex"	"cellular_component"	"protein_coding"
"165"	"TGME49-200280"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"166"	"TGME49-237090"	""	""	""	"protein_coding"
"167"	"TGME49-313170"	""	""	""	"tRNA"
"168"	"TGME49-227030"	""	""	""	"protein_coding"
"169"	"TGME49-245432"	""	""	""	"protein_coding"
"170"	"TGME49-246070"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"171"	"TGME49-246070"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"172"	"TGME49-248610"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"173"	"TGME49-248610"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"174"	"TGME49-232670"	""	""	""	"protein_coding"
"175"	"TGME49-224090"	"GO:0005739"	"mitochondrion"	"cellular_component"	"protein_coding"
"176"	"TGME49-224090"	"GO:0006574"	"valine catabolic process"	"biological_process"	"protein_coding"
"177"	"TGME49-224090"	"GO:0003860"	"3-hydroxyisobutyryl-CoA hydrolase activity"	"molecular_function"	"protein_coding"
"178"	"TGME49-224090"	"GO:0016853"	"isomerase activity"	"molecular_function"	"protein_coding"
"179"	"TGME49-224090"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"180"	"TGME49-224090"	"GO:0009083"	"branched-chain amino acid catabolic process"	"biological_process"	"protein_coding"
"181"	"TGME49-269417"	""	""	""	"protein_coding"
"182"	"TGME49-226230"	""	""	""	"protein_coding"
"183"	"TGME49-215785"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"184"	"TGME49-215785"	"GO:0004672"	"protein kinase activity"	"molecular_function"	"protein_coding"
"185"	"TGME49-215785"	"GO:0006468"	"protein phosphorylation"	"biological_process"	"protein_coding"
"186"	"TGME49-268350"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"187"	"TGME49-266880"	"GO:0050660"	"flavin adenine dinucleotide binding"	"molecular_function"	"protein_coding"
"188"	"TGME49-266880"	"GO:0017150"	"tRNA dihydrouridine synthase activity"	"molecular_function"	"protein_coding"
"189"	"TGME49-266880"	"GO:0003824"	"catalytic activity"	"molecular_function"	"protein_coding"
"190"	"TGME49-266880"	"GO:0008033"	"tRNA processing"	"biological_process"	"protein_coding"
"191"	"TGME49-266880"	"GO:0016491"	"oxidoreductase activity"	"molecular_function"	"protein_coding"
"192"	"TGME49-266880"	"GO:0002943"	"tRNA dihydrouridine synthesis"	"biological_process"	"protein_coding"
"193"	"TGME49-225970"	"GO:0006355"	"regulation of transcription, DNA-templated"	"biological_process"	"protein_coding"
"194"	"TGME49-225970"	"GO:0001104"	"GO_0001104"	"go"	"protein_coding"
"195"	"TGME49-225970"	"GO:0006351"	"transcription, DNA-templated"	"biological_process"	"protein_coding"
"196"	"TGME49-225970"	"GO:0016592"	"mediator complex"	"cellular_component"	"protein_coding"
"197"	"TGME49-225970"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"198"	"TGME49-225970"	"GO:0003712"	"transcription coregulator activity"	"molecular_function"	"protein_coding"
"199"	"TGME49-269720"	""	""	""	"protein_coding"
"200"	"TGME49-224170"	""	""	""	"protein_coding"
"201"	"TGME49-245720"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"202"	"TGME49-245720"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"203"	"TGME49-245720"	"GO:0070615"	"nucleosome-dependent ATPase activity"	"molecular_function"	"protein_coding"
"204"	"TGME49-214240"	"GO:0005669"	"transcription factor TFIID complex"	"cellular_component"	"protein_coding"
"205"	"TGME49-214240"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"206"	"TGME49-229620"	""	""	""	"protein_coding"
"207"	"TGME49-229320"	"GO:0008967"	"phosphoglycolate phosphatase activity"	"molecular_function"	"protein_coding"
"208"	"TGME49-229320"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"209"	"TGME49-229320"	"GO:0004222"	"metalloendopeptidase activity"	"molecular_function"	"protein_coding"
"210"	"TGME49-229320"	"GO:0016311"	"dephosphorylation"	"biological_process"	"protein_coding"
"211"	"TGME49-229320"	"GO:0006364"	"rRNA processing"	"biological_process"	"protein_coding"
"212"	"TGME49-229320"	"GO:0006508"	"proteolysis"	"biological_process"	"protein_coding"
"213"	"TGME49-273990"	""	""	""	"protein_coding"
"214"	"TGME49-226290"	""	""	""	"protein_coding"
"215"	"TGME49-312390"	""	""	""	"protein_coding"
"216"	"TGME49-315400"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"217"	"TGME49-315400"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"218"	"TGME49-235200"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"219"	"TGME49-235200"	"GO:0005576"	"extracellular region"	"cellular_component"	"protein_coding"
"220"	"TGME49-235200"	"GO:0006508"	"proteolysis"	"biological_process"	"protein_coding"
"221"	"TGME49-235200"	"GO:0004252"	"serine-type endopeptidase activity"	"molecular_function"	"protein_coding"
"222"	"TGME49-235200"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"223"	"TGME49-236400"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"224"	"TGME49-236400"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"225"	"TGME49-316770"	"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	"molecular_function"	"protein_coding"
"226"	"TGME49-316770"	"GO:0006486"	"protein glycosylation"	"biological_process"	"protein_coding"
"227"	"TGME49-316770"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"228"	"TGME49-312560"	"GO:0003723"	"RNA binding"	"molecular_function"	"protein_coding"
"229"	"TGME49-312560"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"230"	"TGME49-312560"	"GO:0003743"	"translation initiation factor activity"	"molecular_function"	"protein_coding"
"231"	"TGME49-312560"	"GO:0006413"	"translational initiation"	"biological_process"	"protein_coding"
"232"	"TGME49-249665"	""	""	""	"protein_coding"
"233"	"TGME49-230690"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"234"	"TGME49-230690"	"GO:0016311"	"dephosphorylation"	"biological_process"	"protein_coding"
"235"	"TGME49-230690"	"GO:0008195"	"phosphatidate phosphatase activity"	"molecular_function"	"protein_coding"
"236"	"TGME49-229780"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"237"	"TGME49-229780"	"GO:0033858"	"N-acetylgalactosamine kinase activity"	"molecular_function"	"protein_coding"
"238"	"TGME49-229780"	"GO:0005534"	"galactose binding"	"molecular_function"	"protein_coding"
"239"	"TGME49-229780"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"240"	"TGME49-229780"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"241"	"TGME49-229780"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"242"	"TGME49-229780"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"243"	"TGME49-229780"	"GO:0046835"	"carbohydrate phosphorylation"	"biological_process"	"protein_coding"
"244"	"TGME49-216960"	"GO:0005525"	"GTP binding"	"molecular_function"	"protein_coding"
"245"	"TGME49-216960"	"GO:0003746"	"translation elongation factor activity"	"molecular_function"	"protein_coding"
"246"	"TGME49-216960"	"GO:0003924"	"GTPase activity"	"molecular_function"	"protein_coding"
"247"	"TGME49-216960"	"GO:0006414"	"translational elongation"	"biological_process"	"protein_coding"
"248"	"TGME49-269035"	"GO:0004127"	"cytidylate kinase activity"	"molecular_function"	"protein_coding"
"249"	"TGME49-269035"	"GO:0004550"	"nucleoside diphosphate kinase activity"	"molecular_function"	"protein_coding"
"250"	"TGME49-269035"	"GO:0006228"	"UTP biosynthetic process"	"biological_process"	"protein_coding"
"251"	"TGME49-269035"	"GO:0006183"	"GTP biosynthetic process"	"biological_process"	"protein_coding"
"252"	"TGME49-269035"	"GO:0006241"	"CTP biosynthetic process"	"biological_process"	"protein_coding"
"253"	"TGME49-269035"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"254"	"TGME49-269035"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"255"	"TGME49-269035"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"256"	"TGME49-269035"	"GO:0046940"	"nucleoside monophosphate phosphorylation"	"biological_process"	"protein_coding"
"257"	"TGME49-269035"	"GO:0006165"	"nucleoside diphosphate phosphorylation"	"biological_process"	"protein_coding"
"258"	"TGME49-308940"	""	""	""	"protein_coding"
"259"	"TGME49-233670"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"260"	"TGME49-233670"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"261"	"TGME49-273100"	"GO:0003676"	"nucleic acid binding"	"molecular_function"	"protein_coding"
"262"	"TGME49-273100"	"GO:0008408"	"3'-5' exonuclease activity"	"molecular_function"	"protein_coding"
"263"	"TGME49-273100"	"GO:0006139"	"nucleobase-containing compound metabolic process"	"biological_process"	"protein_coding"
"264"	"TGME49-273100"	"GO:0004527"	"exonuclease activity"	"molecular_function"	"protein_coding"
"265"	"TGME49-273100"	"GO:0090305"	"nucleic acid phosphodiester bond hydrolysis"	"biological_process"	"protein_coding"
"266"	"TGME49-226980"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"267"	"TGME49-226980"	"GO:0003743"	"translation initiation factor activity"	"molecular_function"	"protein_coding"
"268"	"TGME49-226980"	"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"cellular_component"	"protein_coding"
"269"	"TGME49-226980"	"GO:0006413"	"translational initiation"	"biological_process"	"protein_coding"
"270"	"TGME49-316690"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"271"	"TGME49-316690"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"272"	"TGME49-214490"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"273"	"TGME49-214490"	"GO:0003824"	"catalytic activity"	"molecular_function"	"protein_coding"
"274"	"TGME49-310118"	"GO:0005840"	"ribosome"	"cellular_component"	"protein_coding"
"275"	"TGME49-310118"	"GO:0005739"	"mitochondrion"	"cellular_component"	"protein_coding"
"276"	"TGME49-316110"	"GO:0003735"	"structural constituent of ribosome"	"molecular_function"	"protein_coding"
"277"	"TGME49-316110"	"GO:0005840"	"ribosome"	"cellular_component"	"protein_coding"
"278"	"TGME49-316110"	"GO:0006412"	"translation"	"biological_process"	"protein_coding"
"279"	"TGME49-247770"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"280"	"TGME49-247770"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"281"	"TGME49-236630"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"282"	"TGME49-236630"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"283"	"TGME49-269015"	""	""	""	"protein_coding"
"284"	"TGME49-217820"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"285"	"TGME49-217820"	"GO:0003743"	"translation initiation factor activity"	"molecular_function"	"protein_coding"
"286"	"TGME49-217820"	"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"cellular_component"	"protein_coding"
"287"	"TGME49-217820"	"GO:0001731"	"formation of translation preinitiation complex"	"biological_process"	"protein_coding"
"288"	"TGME49-217820"	"GO:0006446"	"regulation of translational initiation"	"biological_process"	"protein_coding"
"289"	"TGME49-217820"	"GO:0016282"	"eukaryotic 43S preinitiation complex"	"cellular_component"	"protein_coding"
"290"	"TGME49-217820"	"GO:0033290"	"eukaryotic 48S preinitiation complex"	"cellular_component"	"protein_coding"
"291"	"TGME49-217820"	"GO:0006412"	"translation"	"biological_process"	"protein_coding"
"292"	"TGME49-217820"	"GO:0006413"	"translational initiation"	"biological_process"	"protein_coding"
"293"	"TGME49-217820"	"GO:0001732"	"formation of cytoplasmic translation initiation complex"	"biological_process"	"protein_coding"
"294"	"TGME49-217820"	"GO:0002183"	"cytoplasmic translational initiation"	"biological_process"	"protein_coding"
"295"	"TGME49-217820"	"GO:0071541"	"eukaryotic translation initiation factor 3 complex, eIF3m"	"cellular_component"	"protein_coding"
"296"	"TGME49-219218"	""	""	""	"protein_coding"
"297"	"TGME49-231590"	"GO:0051087"	"chaperone binding"	"molecular_function"	"protein_coding"
"298"	"TGME49-267680"	"GO:0005509"	"calcium ion binding"	"molecular_function"	"protein_coding"
"299"	"TGME49-225950"	""	""	""	"protein_coding"
"300"	"TGME49-311200"	""	""	""	"tRNA"
