logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Tmem67	-3.63327091846351	6.04754079942489	-34.8938520092149	1.46224801826408e-12	1.20910908226506e-09	19.3786579518042	10511588	ENSG00000164953	ENSMUSG00000049488	Tmem67
Spryd7	-3.35244507180724	7.99798743622143	-34.801236189812	1.50499731605023e-12	1.21617464930641e-09	19.3520157721186	10420659	ENSG00000123178	ENSMUSG00000021930	Spryd7
Bst1	-6.24792359920372	7.51041549392492	-34.1292675362324	1.8592094897335e-12	1.38056386809585e-09	19.1559566796781	10521667	ENSG00000109743	ENSMUSG00000029082	Bst1
Slc11a1	-3.64548443334997	6.74498372655413	-33.2158567540736	2.49455062893326e-12	1.79721030577126e-09	18.8814382160691	10347335	ENSG00000018280	ENSMUSG00000026177	Slc11a1
F2.1	-2.63616184284978	10.2316556124258	-33.0908130409382	2.59858526501276e-12	1.79721030577126e-09	18.8431159375851	10501229	ENSG00000180210	ENSMUSG00000027249	F2
P2ry6	-3.55678357053962	7.08363999109046	-32.9912505237934	2.68480523096374e-12	1.80054953323782e-09	18.8124725325875	10565958	ENSG00000171631	ENSMUSG00000048779	P2ry6
Ch25h	-6.61816305036591	7.42970365266573	-32.823671153047	2.83705664643724e-12	1.80054953323782e-09	18.7606319493765	10467136	ENSG00000138135	ENSMUSG00000050370	Ch25h
C1qb	-4.05035149247289	8.26664522433495	-32.5682683217285	3.08751679207916e-12	1.89275425964081e-09	18.6809825365486	10517508	ENSG00000173369	ENSMUSG00000036905	C1qb
Acpp	-5.06562728965762	8.60231347763961	-32.1447072377781	3.55769730211114e-12	2.05363557361282e-09	18.5471586367968	10596303	ENSG00000014257	ENSMUSG00000032561	Acpp
Slc7a2	-4.77245907093423	8.72896859984929	-32.1194767792244	3.5880708714896e-12	2.05363557361282e-09	18.5391179368174	10571444	ENSG00000003989	ENSMUSG00000031596	Slc7a2
Rgl1	-5.10660261284384	6.31655015342622	-31.9943363381045	3.74295990172568e-12	2.07944816040247e-09	18.499120725294	10358733	ENSG00000143344	ENSMUSG00000026482	Rgl1
Cemip2	-3.70461905919931	6.04071383183948	-31.6573088518983	4.19757774692071e-12	2.26134961165929e-09	18.3904297493975	10462005	ENSG00000135048	ENSMUSG00000024754	Cemip2
Lpcat2	-3.79665793579044	7.83767319927108	-31.4134616327089	4.56397529681421e-12	2.31823865219323e-09	18.310894460586	10573939	ENSG00000087253	ENSMUSG00000033192	Lpcat2
C2.3	-5.04497188607978	7.75531706538881	-31.3398869369091	4.68126929728698e-12	2.34432691738501e-09	18.286747288369	10419156	ENSG00000166278	ENSMUSG00000024371	C2
Lcp2	-3.91854345349633	8.25989458843322	-30.4247501579374	6.45052634740626e-12	3.01782782642601e-09	17.9804688313642	10375145	ENSG00000043462	ENSMUSG00000002699	Lcp2
Clec4n	-3.85373229188583	9.66649946362391	-30.3284797337759	6.67543552891765e-12	3.08249072293761e-09	17.9475968726639	10541605	ENSG00000205846	ENSMUSG00000023349	Clec4n
Fpr1	-6.04425464139922	7.20390788838257	-29.7340768495495	8.26831706263581e-12	3.49986049379856e-09	17.7417960181748	10448124	ENSG00000171051	ENSMUSG00000045551	Fpr1
C1qc	-3.73999234949791	8.16940077169836	-29.6546056268087	8.51099320902455e-12	3.5601985240009e-09	17.7139043708698	10517513	ENSG00000159189	ENSMUSG00000036896	C1qc
Fst	-4.71474073695442	6.59588877377434	-29.5148706396662	8.95674278426048e-12	3.66052811996742e-09	17.664643439716	10412260	ENSG00000134363	ENSMUSG00000021765	Fst
Upp1	-4.33478679099406	7.83369971449068	-29.3244680233519	9.60559700172661e-12	3.79485118881546e-09	17.5970677959155	10374236	ENSG00000183696	ENSMUSG00000020407	Upp1
Lox	-4.56199539676073	4.41012003859913	-29.0265942075774	1.07258503122713e-11	4.07104975025056e-09	17.4902882094393	10458894	ENSG00000113083	ENSMUSG00000024529	Lox
P2ry14	-2.75164214722107	8.97139170154294	-28.8833397343606	1.13146914224194e-11	4.07104975025056e-09	17.4384681313357	10498350	ENSG00000174944	ENSMUSG00000036381	P2ry14
C2.4	-4.57275935740084	6.17518180152545	-28.665716494392	1.22777643602429e-11	4.27988421169409e-09	17.3591575031766	10414590	ENSG00000166278	ENSMUSG00000024371	C2
Dcbld2	-3.6636966941123	6.40611352239684	-28.5760951887881	1.27000571480116e-11	4.35395572197994e-09	17.3262874929393	10436372	ENSG00000057019	ENSMUSG00000035107	Dcbld2
Mmp13	-6.00473545179886	8.72921917161073	-28.424128296555	1.34527703726753e-11	4.47663190924312e-09	17.2702706671827	10583044	ENSG00000137745	ENSMUSG00000050578	Mmp13
Gpsm2	-4.06242283333457	5.76408259864449	-28.4166222082724	1.3491189064889e-11	4.47663190924312e-09	17.2674946352654	10501402	ENSG00000121957	ENSMUSG00000027883	Gpsm2
Inhba	-4.54787401052231	9.13334632755238	-28.395953237114	1.35975994543328e-11	4.47663190924312e-09	17.2598459856542	10403743	ENSG00000122641	ENSMUSG00000041324	Inhba
Cd14	-3.99352026054576	9.35220616543208	-28.2758223862907	1.42344737769705e-11	4.61604825493128e-09	17.215260122956	10458382	ENSG00000170458	ENSMUSG00000051439	Cd14
Abcc5	-3.52827773626165	7.14751544291193	-28.2673283037812	1.42807207796839e-11	4.61604825493128e-09	17.2120991130127	10438478	ENSG00000114770	ENSMUSG00000022822	Abcc5
Gas7	-4.03069805218567	7.12765800448188	-28.1999775839241	1.46532723302388e-11	4.69379955832407e-09	17.1869952217683	10377215	ENSG00000007237	ENSMUSG00000033066	Gas7
Xylt2	-2.56226601481791	6.16170108660834	-28.1625438557889	1.48649092160222e-11	4.71907778647218e-09	17.1730117543167	10390059	ENSG00000015532	ENSMUSG00000020868	Xylt2
Car4	-5.83915273501971	8.0375418835894	-28.0765664151372	1.53637225395947e-11	4.791864198402e-09	17.1408114014427	10379866	ENSG00000167434	ENSMUSG00000000805	Car4
Fam102b	-3.58586504937014	7.241198778028	-27.9009729364916	1.64401158468688e-11	5.03917895733851e-09	17.0746852454088	10501456	ENSG00000162636	ENSMUSG00000040339	Fam102b
T	-3.57697931826135	6.59704189887358	-27.7445711329404	1.74683277366092e-11	5.30858000857159e-09	17.015372625296	10441601	ENSG00000164458	ENSMUSG00000062327	T
Met	-2.90502185986255	9.45312625494492	-27.6275139484298	1.82837336554571e-11	5.50929181231722e-09	16.9707231582186	10536505	ENSG00000105976	ENSMUSG00000009376	Met
F3	-4.42230422512787	6.7785423906243	-27.5562201770412	1.88006321313707e-11	5.6174392946472e-09	16.9434204856852	10541587	ENSG00000117525	ENSMUSG00000028128	F3
F10	-4.47495105529032	9.38093847466732	-27.5303292630519	1.89922739056883e-11	5.62741075825545e-09	16.93348479977	10570291	ENSG00000126218	ENSMUSG00000031444	F10
Ctsk	-5.54021016162736	6.61177803919087	-27.33219351529	2.05313539199748e-11	5.89501451311679e-09	16.8570858834489	10494262	ENSG00000143387	ENSMUSG00000028111	Ctsk
Lcn2	-3.67630731643013	7.51750417383601	-27.3288326508287	2.05586061319182e-11	5.89501451311679e-09	16.8557843912361	10481627	ENSG00000148346	ENSMUSG00000026822	Lcn2
Cmpk2	-4.2637151549996	8.29318980696327	-27.2491424788575	2.12164826781518e-11	5.98708935003464e-09	16.8248695522668	10395039	ENSG00000134326	ENSMUSG00000020638	Cmpk2
Aldh1b1	-3.64931293627689	7.19773064841157	-27.1687894362154	2.19031399084871e-11	6.03873470366453e-09	16.7935905365112	10504606	ENSG00000137124	ENSMUSG00000035561	Aldh1b1
F5	-4.48671568407103	6.53428661803034	-27.1277548748797	2.22631160722442e-11	6.08913350049781e-09	16.7775753799274	10569485	ENSG00000198734	ENSMUSG00000026579	F5
Top3a	-2.61543465301534	7.65644388396081	-27.020344314784	2.32362814954676e-11	6.16559123024512e-09	16.7355207237273	10388958	ENSG00000177302	ENSMUSG00000002814	Top3a
Cmklr1	-3.65347310595303	6.56869893560392	-26.879857517188	2.45797706249863e-11	6.37925784191251e-09	16.6802211493853	10532711	ENSG00000174600	ENSMUSG00000042190	Cmklr1
Cst7	-4.17160705803885	6.53571380241349	-26.8226263967854	2.51511577001497e-11	6.38767545133231e-09	16.6575970127289	10476945	ENSG00000077984	ENSMUSG00000068129	Cst7
Tlr7	-5.23874812024182	6.42518509748553	-26.6646285892779	2.68051368722121e-11	6.75945706828634e-09	16.5948467375267	10607870	ENSG00000196664	ENSMUSG00000044583	Tlr7
Igf1	-4.91031328479709	6.8197682244614	-26.6360794562978	2.71164606952282e-11	6.78980898929249e-09	16.5834622235587	10365559	ENSG00000017427	ENSMUSG00000020053	Igf1
Tifa	-2.9017858035515	6.70091560794109	-26.6077631987614	2.74291427586079e-11	6.82007412535009e-09	16.5721566082841	10495967	ENSG00000145365	ENSMUSG00000046688	Tifa
Gla	-2.51442256360112	8.93844039576913	-26.5711413231043	2.78393825421735e-11	6.87400753937168e-09	16.5575142037364	10606714	ENSG00000102393	ENSMUSG00000031266	Gla
Lipa	-3.17480983511775	9.25142418580104	-26.5162858718406	2.84664427109641e-11	6.93976283953228e-09	16.535537797465	10467139	ENSG00000107798	ENSMUSG00000024781	Lipa
Clmp	-5.67152667634262	6.78195024420464	-26.497607304637	2.86834607798508e-11	6.93976283953228e-09	16.5280427166988	10584561	ENSG00000166250	ENSMUSG00000032024	Clmp
Oas2	-4.58755001881012	6.4650575742594	-26.4969420433096	2.86912233493994e-11	6.93976283953228e-09	16.5277756570852	10533198	ENSG00000111335	ENSMUSG00000032690	Oas2
Hmox1	-2.35958778395196	11.5604044868328	-26.3871342191613	3.00044540725613e-11	7.11225579335992e-09	16.4835884072088	10572897	ENSG00000100292	ENSMUSG00000005413	Hmox1
C2.5	-6.05388231531083	7.0254883310901	-26.3525031622407	3.04321014058727e-11	7.16585296415372e-09	16.4696086366052	10429568	ENSG00000166278	ENSMUSG00000024371	C2
Ninj1	-2.16448871019192	8.98973109599428	-26.3125099099973	3.09342500418326e-11	7.23125639544e-09	16.4534378763352	10404996	ENSG00000131669	ENSMUSG00000037966	Ninj1
Aoah	-4.80462889767353	5.71788012472642	-26.2981607849174	3.11166112189875e-11	7.23125639544e-09	16.4476290810884	10403871	ENSG00000136250	ENSMUSG00000021322	Aoah
Smpdl3b	-2.47122539488045	7.70862870172853	-26.1859069181818	3.25843463234343e-11	7.41766204340044e-09	16.4020601875732	10516956	ENSG00000130768	ENSMUSG00000028885	Smpdl3b
Rnf149	-2.72379680945315	8.39960693437077	-26.070820612983	3.41678376542155e-11	7.54578655672849e-09	16.3551074406279	10354191	ENSG00000163162	ENSMUSG00000048234	Rnf149
Pik3ap1	-3.23022700803116	7.9149039113817	-26.0344281943364	3.46858755697217e-11	7.61290735652485e-09	16.340210500898	10467578	ENSG00000155629	ENSMUSG00000025017	Pik3ap1
F2.2	-5.27419166170072	6.62873610214671	-25.8095433576704	3.80832588643381e-11	8.25663629378297e-09	16.2476222948724	10541555	ENSG00000180210	ENSMUSG00000027249	F2
Thbs4	-3.38666105355217	5.23963295063138	-25.721381603431	3.9512723523572e-11	8.47106933625121e-09	16.2110722755495	10411082	ENSG00000113296	ENSMUSG00000021702	Thbs4
Dcstamp	-4.0436175717286	7.90197771296778	-25.6023300973836	4.15366517315733e-11	8.68751287628129e-09	16.1614879345269	10423894	ENSG00000164935	ENSMUSG00000022303	Dcstamp
Slc16a10	-3.71895547965824	5.91361842726052	-25.5833639176218	4.18693950832728e-11	8.68887014238625e-09	16.1535642878424	10368720	ENSG00000112394	ENSMUSG00000019838	Slc16a10
F3.2	-4.86246550315898	6.69681518269177	-25.5485521600639	4.24877202515251e-11	8.68887014238625e-09	16.1390032410752	10433101	ENSG00000117525	ENSMUSG00000028128	F3
Cd69	-4.07565419405492	8.29870145670347	-25.4808987337784	4.37180414415998e-11	8.88250675141442e-09	16.1106403166136	10548333	ENSG00000110848	ENSMUSG00000030156	Cd69
Arid5b	-3.40124600632685	7.32734268062956	-25.4452672989899	4.43815919731467e-11	8.90689892161498e-09	16.0956676896466	10369792	ENSG00000150347	ENSMUSG00000019947	Arid5b
Flrt2	-5.11232435319023	6.13559682583248	-25.3885780152179	4.54600332394232e-11	9.00825358852301e-09	16.0717970504024	10397633	ENSG00000185070	ENSMUSG00000047414	Flrt2
Rassf4	-2.39327130065992	9.76110195338613	-25.3811361352022	4.56037137454759e-11	9.00825358852301e-09	16.0686589257455	10547177	ENSG00000107551	ENSMUSG00000042129	Rassf4
Mgst2	-4.0877748022497	7.79319530751834	-25.3673875167573	4.58704623145858e-11	9.01088485114593e-09	16.0628585903964	10491952	ENSG00000085871	ENSMUSG00000074604	Mgst2
Il1b	-4.78520532421335	8.37586915184519	-25.2412180521224	4.83993605805731e-11	9.45542672968603e-09	16.0094619161144	10487597	ENSG00000125538	ENSMUSG00000027398	Il1b
Arg1	-5.58847246186309	6.97999378997675	-25.1694142639859	4.99061360683698e-11	9.66618050842834e-09	15.9789378528808	10368343	ENSG00000118520	ENSMUSG00000019987	Arg1
Rgs14	-2.77293090613141	6.36774354973298	-25.1610212660242	5.00855712618878e-11	9.66618050842834e-09	15.975363500486	10405432	ENSG00000169220	ENSMUSG00000052087	Rgs14
C3.1	-4.79279367371036	8.04721065492813	-25.1513263204693	5.02937167864564e-11	9.66618050842834e-09	15.9712329976995	10462618	ENSG00000125730	ENSMUSG00000024164	C3
Fabp3	-4.44062836990498	5.87584447870297	-25.0782618681461	5.18930403009403e-11	9.86689273230071e-09	15.9400458455795	10371502	ENSG00000121769	ENSMUSG00000028773	Fabp3
Gpnmb	-2.33231271278232	10.885043893747	-25.0334054117648	5.29023236191891e-11	9.97874614854529e-09	15.9208479994636	10538187	ENSG00000136235	ENSMUSG00000029816	Gpnmb
Pltp	-3.57444852163334	7.36492351718074	-25.0225690307419	5.31493413005494e-11	9.97874614854529e-09	15.9162043511858	10489569	ENSG00000100979	ENSMUSG00000017754	Pltp
Ecm1	-3.83463292374784	8.12393217579142	-24.9979952846545	5.37141761565704e-11	9.97874614854529e-09	15.9056654619647	10500204	ENSG00000143369	ENSMUSG00000028108	Ecm1
Tmem229b	-3.08739544183966	6.81601703710596	-24.9906380041952	5.3884555645199e-11	9.97874614854529e-09	15.9025078769162	10401160	ENSG00000198133	ENSMUSG00000046157	Tmem229b
Prxl2b	-2.24106269150016	6.63029975779537	-24.8226364662684	5.79399401964368e-11	1.05646795570488e-08	15.8301174431866	10519052	ENSG00000157870	ENSMUSG00000029059	Prxl2b
Htra4	-2.63866055237427	6.40953793715535	-24.6082900961135	6.36042589834554e-11	1.13643870975665e-08	15.736949155605	10577782	ENSG00000169495	ENSMUSG00000037406	Htra4
