logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Tmem39a	3.02721597288896	9.42122223919626	29.757501200525	8.19823515401415e-12	3.49986049379856e-09	17.7500000238528	10435714	ENSG00000176142	ENSMUSG00000002845	Tmem39a
Tmem123	2.23487478368067	10.7528109294233	29.5183989971006	8.94517918762258e-12	3.66052811996742e-09	17.6658907434875	10583145	ENSG00000152558	ENSMUSG00000050912	Tmem123
Zfp36l1	3.81649059646739	8.95422456836416	29.4056571233948	9.32285771356384e-12	3.75508296259886e-09	17.6259467567449	10401238	ENSG00000185650	ENSMUSG00000021127	Zfp36l1
Dock9	2.79052978703183	5.28648359748224	29.292274556093	9.72028744285507e-12	3.79796198151818e-09	17.5855900293701	10422436	ENSG00000088387	ENSMUSG00000025558	Dock9
Mtmr4	3.60130243298422	8.17543344208314	28.9341940961552	1.11017164954778e-11	4.07104975025056e-09	17.4568989366377	10380087	ENSG00000108389	ENSMUSG00000018401	Mtmr4
Lima1	3.0190040944252	7.29012683096537	28.8999493725727	1.12446453962458e-11	4.07104975025056e-09	17.4444921027669	10432540	ENSG00000050405	ENSMUSG00000023022	Lima1
Ptger4	3.55818695837304	8.74742508770266	28.8785008155543	1.13351874585107e-11	4.07104975025056e-09	17.436712379096	10427461	ENSG00000171522	ENSMUSG00000039942	Ptger4
Gpr157	3.44169689453422	6.82933046298731	28.7346621751658	1.19633144726652e-11	4.24659053583253e-09	17.3843613982227	10510509	ENSG00000180758	ENSMUSG00000047875	Gpr157
Insr	3.11601316697379	7.61152589445187	28.5687919369676	1.27351612972751e-11	4.35395572197994e-09	17.3236035179782	10576696	ENSG00000171105	ENSMUSG00000005534	Insr
Strbp	3.86794383253559	6.95316768323648	27.9907377897217	1.58799298497663e-11	4.90979813685471e-09	17.1085505582183	10482181	ENSG00000165209	ENSMUSG00000026915	Strbp
Nostrin	3.69024769466007	7.98841980291183	27.3446765816796	2.04304768746407e-11	5.89501451311679e-09	16.8619183048787	10472514	ENSG00000163072	ENSMUSG00000034738	Nostrin
Flt3	4.49038063764542	6.3687831078076	27.3346570899235	2.05114025707351e-11	5.89501451311679e-09	16.8580397820984	10535780	ENSG00000122025	ENSMUSG00000042817	Flt3
Eno3	3.29379100148289	7.68629925354695	27.1813129817158	2.17945445931458e-11	6.03873470366453e-09	16.7984726677002	10377938	ENSG00000108515	ENSMUSG00000060600	Eno3
Tspan13	4.19777108749993	8.16275926001546	27.1681143531356	2.19090104841018e-11	6.03873470366453e-09	16.7933272901691	10400023	ENSG00000106537	ENSMUSG00000020577	Tspan13
Avpi1	3.01644960612236	7.33561697051399	27.0519773478411	2.29449469081799e-11	6.16559123024512e-09	16.7479262573802	10467739	ENSG00000119986	ENSMUSG00000018821	Avpi1
Clu	4.58953823417108	7.77468211566951	27.0228952147591	2.32126393024833e-11	6.16559123024512e-09	16.7365217371618	10416057	ENSG00000120885	ENSMUSG00000022037	Clu
Cdc42ep3	4.25005447918988	7.43734779905121	27.0214954362359	2.32256094491498e-11	6.16559123024512e-09	16.7359724555789	10453049	ENSG00000163171	ENSMUSG00000036533	Cdc42ep3
Mreg	2.26281992228691	9.04858293422023	26.9927434695011	2.34937765268408e-11	6.18773865324705e-09	16.7246826796614	10355456	ENSG00000118242	ENSMUSG00000039395	Mreg
Ttyh3	2.88317677755848	7.95386394723876	26.907872766699	2.43052428077092e-11	6.35439127405079e-09	16.6912755214538	10535231	ENSG00000136295	ENSMUSG00000036565	Ttyh3
Depdc7	3.49949033985598	7.44401523830532	26.8386657811154	2.498957624735e-11	6.38767545133231e-09	16.6639432190918	10485597	ENSG00000121690	ENSMUSG00000027173	Depdc7
Hsf2	2.6591291056421	8.52631216209851	26.4494745742035	2.92510513252099e-11	7.027367438643e-09	16.5087004976636	10363195	ENSG00000025156	ENSMUSG00000019878	Hsf2
F3.1	4.09576832178439	7.84294683193627	26.414878561769	2.96665743262986e-11	7.07936051507297e-09	16.4947728992528	10542120	ENSG00000117525	ENSMUSG00000028128	F3
Dpp4	3.83188542518399	6.57619522092392	26.1681153808915	3.28238248288445e-11	7.41766204340044e-09	16.3948171522284	10483046	ENSG00000197635	ENSMUSG00000035000	Dpp4
Ramp3	5.91096021835561	8.38742369557255	26.1419227897417	3.31798822446826e-11	7.41766204340044e-09	16.3841436811036	10374197	ENSG00000122679	ENSMUSG00000041046	Ramp3
Kcnk6	3.00692620246779	8.6333439276569	26.1274038727557	3.33790619570275e-11	7.41766204340044e-09	16.3782219261775	10561702	ENSG00000099337	ENSMUSG00000046410	Kcnk6
Mink1	2.39648999498367	8.00502351172497	25.9308170225114	3.62082312472302e-11	7.89828141243261e-09	16.2976667906416	10377889	ENSG00000141503	ENSMUSG00000020827	Mink1
Tcea3	3.25186347999224	6.05444389233484	25.7192011612725	3.95488106034903e-11	8.47106933625121e-09	16.2101664935956	10509204	ENSG00000204219	ENSMUSG00000001604	Tcea3
Socs2	2.85799119675896	9.4949064138507	25.6964927965847	3.99267848778422e-11	8.50081894081772e-09	16.2007279403125	10394674	ENSG00000120833	ENSMUSG00000020027	Socs2
Fam49a	1.99676927662521	9.12435163308384	25.6761826355178	4.02681792084863e-11	8.52247249962463e-09	16.1922780958515	10394593	ENSG00000197872	ENSMUSG00000020589	Fam49a
Kif21b	2.70033297531374	6.5871702130012	25.5542574456456	4.23857048685377e-11	8.68887014238625e-09	16.1413911969427	10350247	ENSG00000116852	ENSMUSG00000041642	Kif21b
Ppdpf	2.59649157064485	8.85505946670868	25.5467150243924	4.25206267514683e-11	8.68887014238625e-09	16.1382341756023	10599576	ENSG00000125534	ENSMUSG00000016344	Ppdpf
Slco5a1	3.70171103596678	5.5129211187238	25.4471392418524	4.43464596044859e-11	8.90689892161498e-09	16.0964548905089	10353117	ENSG00000137571	ENSMUSG00000025938	Slco5a1
Satb1	4.91302071830611	6.66159294605515	25.4342168024023	4.4589605356268e-11	8.90689892161498e-09	16.0910193216898	10451763	ENSG00000182568	ENSMUSG00000023927	Satb1
Rogdi	3.59503413053235	8.87698746196762	25.1281038067619	5.07961366343773e-11	9.71025502242968e-09	15.9613317583814	10437483	ENSG00000067836	ENSMUSG00000022540	Rogdi
Mob3a	2.61670899177026	8.86318801809714	25.0019069438335	5.36238293420402e-11	9.97874614854529e-09	15.9073438323686	10370946	ENSG00000172081	ENSMUSG00000003348	Mob3a
Ccser2	2.2505579323194	9.17488194461474	24.8470347299151	5.73308820076348e-11	1.0507509487956e-08	15.8406648020864	10418991	ENSG00000107771	ENSMUSG00000058690	Ccser2
Atrx	3.05587671212931	8.49426721508446	24.6697829592512	6.19198910582363e-11	1.11757545505921e-08	15.76377120724	10606263	ENSG00000085224	ENSMUSG00000031229	Atrx
Ankrd44	3.41467764892648	7.61851616799808	24.5802941551573	6.43875920064161e-11	1.14417024092388e-08	15.7247127951279	10354677	ENSG00000065413	ENSMUSG00000052331	Ankrd44
