logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	human_ensmbl	mouse_ensembl	gene_symbol
Klhl8	2.33065866453865	6.68386128468253	18.7263629691429	3.32521786353722e-07	7.20923453389812e-05	7.60413907582126	10531899	ENSG00000145332	ENSMUSG00000029312	Klhl8
Fchsd2	2.05589587992159	7.65759605973209	18.6866445779597	3.3737844666778e-07	7.22640243959011e-05	7.58973900357505	10555438	ENSG00000137478	ENSMUSG00000030691	Fchsd2
Npr1	3.90830875686276	6.64876439990335	18.6551922700899	3.41281837095659e-07	7.26623772441511e-05	7.57830941884463	10499811	ENSG00000169418	ENSMUSG00000027931	Npr1
Ccr7	5.29778068845116	8.7976110567436	18.6285454237298	3.44629214834107e-07	7.29383116823899e-05	7.56860778385747	10390763	ENSG00000126353	ENSMUSG00000037944	Ccr7
Tspan33	2.01290496782119	5.36144526792741	18.4970300095044	3.61709008265502e-07	7.47828093048934e-05	7.52047766426231	10536908	ENSG00000158457	ENSMUSG00000001763	Tspan33
Nfkbib	2.08873007670609	9.00862285134853	18.4849472268806	3.63326065322407e-07	7.47828093048934e-05	7.51603500377204	10561516	ENSG00000104825	ENSMUSG00000030595	Nfkbib
Ccser2	2.14695330189353	8.71681171804257	18.0669156916317	4.24700237959298e-07	8.47714150659788e-05	7.36013839132849	10418991	ENSG00000107771	ENSMUSG00000058690	Ccser2
Fnbp1l	4.33858308266031	7.61311782509199	18.0545028781126	4.26695760630963e-07	8.47714150659788e-05	7.35544317828353	10501860	ENSG00000137942	ENSMUSG00000039735	Fnbp1l
Ccl22	4.80944427603341	8.92020529276312	18.0540686736049	4.2676575815081e-07	8.47714150659788e-05	7.35527886812493	10574213	ENSG00000102962	ENSMUSG00000031779	Ccl22
Actn1	2.2092684255153	8.60506875246458	17.7864204403889	4.72518110049319e-07	9.0327171617815e-05	7.25308780614681	10401244	ENSG00000072110	ENSMUSG00000015143	Actn1
Lrrk1	2.07569089018188	7.79504161233857	17.4994211820638	5.27912672668512e-07	9.69683888892876e-05	7.14145515666465	10564377	ENSG00000154237	ENSMUSG00000015133	Lrrk1
Zbtb10	2.91721726009572	6.14219240043338	17.3990594746979	5.49005639417741e-07	9.84899893996048e-05	7.10190547043177	10490826	ENSG00000205189	ENSMUSG00000069114	Zbtb10
Dennd4a.1	2.74932989377221	7.39824677513782	17.3977201509388	5.49293554699473e-07	9.84899893996048e-05	7.1013758618996	10586252	ENSG00000174485	ENSMUSG00000053641	Dennd4a
Heatr9	2.88670981643392	5.04517829084441	17.3677335836752	5.55785115153316e-07	9.88074777719565e-05	7.08950567736698	10389190	ENSG00000270379	ENSMUSG00000018925	Heatr9
