source_id	description	gene_type	input_ID	external_gene_name	Computed_GO_Component_ID	Computed_GO_Component	Computed_GO_Function_ID	Computed_GO_Function	Computed_GO_Progess_ID	Computed_GO_Progress	Curated_GO_Component_ID	Curated_GO_Component	Curated_GO_Function_ID	Curated_GO_Function	Curated_GO_Process_ID	Curated_GO_Process	ensembl_gene_id	description_1	hyperlopet_allocation
TGME49_202820-t26_1	ubiquitin-conjugating enzyme subfamily protein	protein coding gene	TGME49_202820	N/A	N/A	N/A	GO:0005524;GO:0016881;GO:0016874;GO:0016740;GO:0004842	ATP binding;acid-amino acid ligase activity;ligase activity;transferase activity;ubiquitin-protein transferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202820	ubiquitin-conjugating enzyme subfamily protein	cytosol
TGME49_202840-t26_1	FHA domain-containing protein	protein coding gene	TGME49_202840	N/A	N/A	N/A	GO:0005515;GO:0008270	protein binding;zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-202840	FHA domain-containing protein	cytosol
TGME49_203290-t26_1	hypothetical protein	protein coding gene	TGME49_203290	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203290	hypothetical protein	dense granules
TGME49_203380-t26_1	DnaJ domain-containing protein	protein coding gene	TGME49_203380	N/A	GO:0005634	nucleus	GO:0003677;GO:0031072	DNA binding;heat shock protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203380	DnaJ domain-containing protein	nucleus - non-chromatin
TGME49_203390-t26_1	CRAL/TRIO domain-containing protein	protein coding gene	TGME49_203390	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203390	CRAL/TRIO domain-containing protein	nucleus - chromatin
TGME49_203620-t26_1	hypothetical protein	protein coding gene	TGME49_203620	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203620	hypothetical protein	mitochondrion - soluble
TGME49_203710-t26_1	AP2 domain transcription factor AP2VIIa-4	protein coding gene	TGME49_203710	AP2VIIA4	N/A	N/A	GO:0003700	DNA-binding transcription factor activity	GO:0006355	regulation of transcription, DNA-templated	GO:0005634	nucleus	N/A	N/A	N/A	N/A	TGME49-203710	AP2 domain transcription factor AP2VIIa-4	cytosol
TGME49_203790-t26_1	hypothetical protein	protein coding gene	TGME49_203790	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203790	hypothetical protein	rhoptries 1
TGME49_203820-t26_1	hypothetical protein	protein coding gene	TGME49_203820	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203820	hypothetical protein	nucleus - chromatin
TGME49_203930-t26_1	hypothetical protein	protein coding gene	TGME49_203930	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-203930	hypothetical protein	rhoptries 2
TGME49_203990-t26_1	rhoptry protein ROP12	protein coding gene	TGME49_203990	ROP12	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-203990	rhoptry protein ROP12	rhoptries 1
TGME49_204050-t26_1	subtilisin SUB1	protein coding gene	TGME49_204050	SUB1	N/A	N/A	GO:0004252	serine-type endopeptidase activity	GO:0006508	proteolysis	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-204050	subtilisin SUB1	micronemes
TGME49_204530-t26_1	microneme protein MIC11	protein coding gene	TGME49_204530	MIC11	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-204530	microneme protein MIC11	micronemes
TGME49_204880-t26_1	hypothetical protein	protein coding gene	TGME49_204880	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-204880	hypothetical protein	apical 1
TGME49_205250-t26_1	rhoptry protein ROP18	protein coding gene	TGME49_205250	ROP18	GO:0016021	integral component of membrane	GO:0005524;GO:0004687;GO:0004672	ATP binding;myosin light chain kinase activity;protein kinase activity	GO:0006468	protein phosphorylation	GO:0045177;GO:0020003	apical part of cell;symbiont-containing vacuole	N/A	N/A	N/A	N/A	TGME49-205250	rhoptry protein ROP18	rhoptries 1
TGME49_205330-t26_1	hypothetical protein	protein coding gene	TGME49_205330	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-205330	hypothetical protein	PM - integral
TGME49_205340-t26_1	ribosomal protein RPS12	protein coding gene	TGME49_205340	RPS12	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-205340	ribosomal protein RPS12	40S ribosome
TGME49_205360-t26_1	hypothetical protein	protein coding gene	TGME49_205360	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-205360	hypothetical protein	rhoptries 1
TGME49_205690-t26_1	hypothetical protein	protein coding gene	TGME49_205690	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-205690	hypothetical protein	IMC
TGME49_205710-t26_1	lysine-tRNA ligase	protein coding gene	TGME49_205710	N/A	GO:0005737	cytoplasm	GO:0005524;GO:0004812;GO:0004824;GO:0003676;GO:0000166;GO:0000049	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding;tRNA binding	GO:0006430;GO:0043039;GO:0006418	lysyl-tRNA aminoacylation;tRNA aminoacylation;tRNA aminoacylation for protein translation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-205710	lysine-tRNA ligase	cytosol
TGME49_206510-t26_1	toxolysin TLN4	protein coding gene	TGME49_206510	TLN4	N/A	N/A	GO:0003824;GO:0016787;GO:0046872;GO:0004222;GO:0008270	catalytic activity;hydrolase activity;metal ion binding;metalloendopeptidase activity;zinc ion binding	GO:0006508	proteolysis	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-206510	toxolysin TLN4	micronemes
TGME49_206610-t26_1	pyruvate dehydrogenase complex subunit PDH-E2	protein coding gene	TGME49_206610	PDHE2	N/A	N/A	GO:0016746;GO:0004742	acyltransferase activity;dihydrolipoyllysine-residue acetyltransferase activity	GO:0008152	metabolic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-206610	pyruvate dehydrogenase complex subunit PDH-E2	apicoplast
TGME49_206690-t26_1	glideosome-associated protein with multiple-membrane spans GAPM2B	protein coding gene	TGME49_206690	GAPM2B	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-206690	glideosome-associated protein with multiple-membrane spans GAPM2B	IMC
TGME49_207060-t26_1	ribonucleoside-diphosphate reductase small subunit	protein coding gene	TGME49_207060	N/A	N/A	N/A	GO:0016491;GO:0004748	oxidoreductase activity;ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	GO:0009186;GO:0009263;GO:0055114	deoxyribonucleoside diphosphate metabolic process;deoxyribonucleotide biosynthetic process;obsolete oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-207060	ribonucleoside-diphosphate reductase small subunit	nucleus - chromatin
TGME49_207080-t26_1	histone lysine acetyltransferase MYST-B	protein coding gene	TGME49_207080	MYSTB	GO:0005634	nucleus	GO:0016747;GO:0004402	acyltransferase activity, transferring groups other than amino-acyl groups;histone acetyltransferase activity	GO:0016573;GO:0006355	histone acetylation;regulation of transcription, DNA-templated	GO:0005737;GO:0005634	cytoplasm;nucleus	N/A	N/A	N/A	N/A	TGME49-207080	histone lysine acetyltransferase MYST-B	nucleus - chromatin
TGME49_207240-t26_1	hypothetical protein	protein coding gene	TGME49_207240	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-207240	hypothetical protein	cytosol
TGME49_208340-t26_1	hypothetical protein	protein coding gene	TGME49_208340	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208340	hypothetical protein	apical 2
TGME49_208440-t26_1	hypothetical protein	protein coding gene	TGME49_208440	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208440	hypothetical protein	mitochondrion - membranes
TGME49_208450-t26_1	protease inhibitor PI2	protein coding gene	TGME49_208450	PI2	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208450	protease inhibitor PI2	dense granules
TGME49_208530-t26_1	nicotinate phosphoribosyltransferase	protein coding gene	TGME49_208530	N/A	GO:0005737	cytoplasm	GO:0003824;GO:0004516;GO:0004514	catalytic activity;nicotinate phosphoribosyltransferase activity;nicotinate-nucleotide diphosphorylase (carboxylating) activity	GO:0009435	NAD biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208530	nicotinate phosphoribosyltransferase	nucleus - non-chromatin
TGME49_208560-t26_1	carrier superfamily protein	protein coding gene	TGME49_208560	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208560	carrier superfamily protein	apicoplast
TGME49_208740-t26_1	microneme protein, putative	protein coding gene	TGME49_208740	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208740	microneme protein	dense granules
TGME49_208780-t26_1	ubiquitin-conjugating enzyme subfamily protein	protein coding gene	TGME49_208780	N/A	N/A	N/A	GO:0005524;GO:0019789;GO:0016881;GO:0016874;GO:0004842	ATP binding;SUMO transferase activity;acid-amino acid ligase activity;ligase activity;ubiquitin-protein transferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208780	ubiquitin-conjugating enzyme subfamily protein	cytosol
TGME49_208830-t26_1	hypothetical protein	protein coding gene	TGME49_208830	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208830	hypothetical protein	dense granules
TGME49_208842-t26_1	DEAD/DEAH box helicase domain-containing protein	protein coding gene	TGME49_208842	N/A	N/A	N/A	GO:0005524;GO:0003677;GO:0004386;GO:0016787;GO:0003676	ATP binding;DNA binding;helicase activity;hydrolase activity;nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-208842	DEAD/DEAH box helicase domain-containing protein	apicoplast
TGME49_209030-t26_1	actin ACT1	protein coding gene	TGME49_209030	ACT1	GO:0005737;GO:0005856	cytoplasm;cytoskeleton	GO:0005524	ATP binding	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	N/A	N/A	TGME49-209030	actin ACT1	cytosol
TGME49_209060-t26_1	thrombospondin type 1 domain-containing protein	protein coding gene	TGME49_209060	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209060	thrombospondin type 1 domain-containing protein	PM - peripheral 2
TGME49_209160-t26_1	myristoyl CoA:protein N-myristoyltransferase	protein coding gene	TGME49_209160	N/A	N/A	N/A	GO:0004379	glycylpeptide N-tetradecanoyltransferase activity	GO:0006499	N-terminal protein myristoylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209160	myristoyl CoA:protein N-myristoyltransferase	nucleus - non-chromatin
TGME49_209170-t26_1	hypothetical protein	protein coding gene	TGME49_209170	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209170	hypothetical protein	rhoptries 1
TGME49_209250-t26_1	hypothetical protein	protein coding gene	TGME49_209250	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209250	hypothetical protein	nucleus - chromatin
TGME49_209600-t26_1	hypothetical protein	protein coding gene	TGME49_209600	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209600	hypothetical protein	cytosol
TGME49_209850-t26_1	RNA recognition motif-containing protein	protein coding gene	TGME49_209850	N/A	N/A	N/A	GO:0003723;GO:0003676	RNA binding;nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-209850	RNA recognition motif-containing protein	cytosol
TGME49_210370-t26_1	hypothetical protein	protein coding gene	TGME49_210370	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-210370	hypothetical protein	rhoptries 1
TGME49_210810-t26_1	hypothetical protein	protein coding gene	TGME49_210810	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-210810	hypothetical protein	nucleus - chromatin
TGME49_210820-t26_1	hypothetical protein	protein coding gene	TGME49_210820	N/A	GO:0016021	integral component of membrane	GO:0005337	nucleoside transmembrane transporter activity	GO:1901642	nucleoside transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-210820	hypothetical protein	rhoptries 2
TGME49_210960-t26_1	replication factor C subunit 4, putative	protein coding gene	TGME49_210960	N/A	N/A	N/A	GO:0005524;GO:0016887;GO:0003677;GO:0003887;GO:0009378	ATP binding;ATP hydrolysis activity;DNA binding;DNA-directed DNA polymerase activity;four-way junction helicase activity	GO:0006310;GO:0006281;GO:0006260	DNA recombination;DNA repair;DNA replication	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-210960	replication factor C subunit 4	nucleus - chromatin
TGME49_211260-t26_1	rhoptry kinase family protein ROP26 (incomplete catalytic triad)	protein coding gene	TGME49_211260	ROP26	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-211260	rhoptry kinase family protein ROP26 (incomplete catalytic triad)	rhoptries 1
TGME49_211290-t26_1	rhoptry protein ROP15	protein coding gene	TGME49_211290	ROP15	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-211290	rhoptry protein ROP15	rhoptries 1
TGME49_211850-t26_1	hypothetical protein	protein coding gene	TGME49_211850	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-211850	hypothetical protein	mitochondrion - soluble
TGME49_212980-t26_1	hypothetical protein	protein coding gene	TGME49_212980	N/A	GO:0016021	integral component of membrane	GO:0003723;GO:0003676	RNA binding;nucleic acid binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-212980	hypothetical protein	nucleus - chromatin
TGME49_213050-t26_1	hypothetical protein	protein coding gene	TGME49_213050	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-213050	hypothetical protein	dense granules
TGME49_213490-t26_1	hypothetical protein	protein coding gene	TGME49_213490	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-213490	hypothetical protein	mitochondrion - membranes
TGME49_213800-t26_1	protein phosphatase 2b regulatory subunit, putative	protein coding gene	TGME49_213800	N/A	N/A	N/A	GO:0047184;GO:0005509	1-acylglycerophosphocholine O-acyltransferase activity;calcium ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-213800	protein phosphatase 2b regulatory subunit	unknown
TGME49_213910-t26_1	hypothetical protein	protein coding gene	TGME49_213910	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-213910	hypothetical protein	ER 1
TGME49_214080-t26_1	toxofilin	protein coding gene	TGME49_214080	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177;GO:0005737;GO:0005886	apical part of cell;cytoplasm;plasma membrane	N/A	N/A	N/A	N/A	TGME49-214080	toxofilin	rhoptries 1
TGME49_214880-t26_1	hypothetical protein	protein coding gene	TGME49_214880	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-214880	hypothetical protein	apical 1
TGME49_214940-t26_1	MIC2-associated protein M2AP	protein coding gene	TGME49_214940	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005794;GO:0045177;GO:0070258;GO:0005886	Golgi apparatus;apical part of cell;inner membrane pellicle complex;plasma membrane	N/A	N/A	N/A	N/A	TGME49-214940	MIC2-associated protein M2AP	micronemes
TGME49_214970-t26_1	DNA replication licensing factor, putative	protein coding gene	TGME49_214970	N/A	GO:0042555;GO:0005634	MCM complex;nucleus	GO:0005524;GO:0003677;GO:0003678;GO:0016851	ATP binding;DNA binding;DNA helicase activity;magnesium chelatase activity	GO:0006260;GO:0006270;GO:0015995;GO:1905775;GO:0015979	DNA replication;DNA replication initiation;chlorophyll biosynthetic process;negative regulation of DNA helicase activity;photosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-214970	DNA replication licensing factor	unknown
TGME49_215100-t26_1	PP-loop family protein	protein coding gene	TGME49_215100	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-215100	PP-loop family protein	apicoplast
TGME49_215150-t26_1	AP2 domain transcription factor AP2X-9	protein coding gene	TGME49_215150	AP2X9	N/A	N/A	GO:0003700	DNA-binding transcription factor activity	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-215150	AP2 domain transcription factor AP2X-9	nucleus - chromatin
TGME49_215640-t26_1	zinc finger, C3HC4 type (RING finger) domain-containing protein	protein coding gene	TGME49_215640	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-215640	zinc finger	unknown
TGME49_215775-t26_1	rhoptry protein ROP8	protein coding gene	TGME49_215775	ROP8	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-215775	rhoptry protein ROP8	rhoptries 1
TGME49_215940-t26_1	Acetyl-coenzyme A transporter, putative	protein coding gene	TGME49_215940	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0008521	acetyl-CoA transmembrane transporter activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-215940	Acetyl-coenzyme A transporter	unknown
TGME49_216000-t26_1	alveolin domain containing intermediate filament IMC3	protein coding gene	TGME49_216000	ALV3	N/A	N/A	N/A	N/A	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-216000	alveolin domain containing intermediate filament IMC3	IMC
TGME49_216080-t26_1	apical complex lysine methyltransferase	protein coding gene	TGME49_216080	N/A	N/A	N/A	GO:0008168;GO:0005515	methyltransferase activity;protein binding	GO:0032259	methylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216080	apical complex lysine methyltransferase	cytosol
TGME49_216460-t26_1	hypothetical protein	protein coding gene	TGME49_216460	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216460	hypothetical protein	Golgi
TGME49_216620-t26_1	EF hand domain-containing protein	protein coding gene	TGME49_216620	N/A	GO:0016021	integral component of membrane	GO:0005509	calcium ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216620	EF hand domain-containing protein	PM - integral
TGME49_216680-t26_1	ankyrin repeat-containing protein	protein coding gene	TGME49_216680	N/A	GO:0016021	integral component of membrane	GO:0004623;GO:0102567;GO:0102568;GO:0005515	phospholipase A2 activity;phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine);phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine);protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216680	ankyrin repeat-containing protein	ER 1
TGME49_216730-t26_1	MCM2/3/5 family protein	protein coding gene	TGME49_216730	N/A	N/A	N/A	GO:0005524;GO:0003677	ATP binding;DNA binding	GO:0006260;GO:0006270	DNA replication;DNA replication initiation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216730	MCM2/3/5 family protein	cytosol
TGME49_216820-t26_1	transporter, major facilitator family protein	protein coding gene	TGME49_216820	N/A	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-216820	transporter	unknown
TGME49_217020-t26_1	ATPase, AFG1 family protein	protein coding gene	TGME49_217020	N/A	N/A	N/A	GO:0005524	ATP binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-217020	ATPase	unknown
TGME49_217400-t26_1	hypothetical protein	protein coding gene	TGME49_217400	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-217400	hypothetical protein	rhoptries 1
TGME49_217410-t26_1	hypothetical protein	protein coding gene	TGME49_217410	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-217410	hypothetical protein	dense granules
TGME49_217740-t26_1	3-ketoacyl-(acyl-carrier-protein) reductase	protein coding gene	TGME49_217740	N/A	N/A	N/A	GO:0004316;GO:0051287;GO:0102131;GO:0102132;GO:0016491	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding;obsolete 3-oxo-glutaryl-[acp] methyl ester reductase activity;obsolete 3-oxo-pimeloyl-[acp] methyl ester reductase activity;oxidoreductase activity	GO:0006633;GO:0008152;GO:0055114	fatty acid biosynthetic process;metabolic process;obsolete oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-217740	3-ketoacyl-(acyl-carrier-protein) reductase	apicoplast
TGME49_217900-t26_1	hypothetical protein	protein coding gene	TGME49_217900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-217900	hypothetical protein	cytosol
TGME49_218240-t26_1	hypothetical protein	protein coding gene	TGME49_218240	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218240	hypothetical protein	IMC
TGME49_218270-t26_1	hypothetical protein	protein coding gene	TGME49_218270	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218270	hypothetical protein	rhoptries 2
TGME49_218530-t26_1	proteasome-interacting thioredoxin domain-containing protein	protein coding gene	TGME49_218530	N/A	GO:0000502	proteasome complex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218530	proteasome-interacting thioredoxin domain-containing protein	cytosol
TGME49_218540-t26_1	peptidase S15, putative	protein coding gene	TGME49_218540	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218540	peptidase S15	unknown
TGME49_218720-t26_1	calcium-dependent protein kinase CDPK6	protein coding gene	TGME49_218720	CDPK6	GO:0016020	membrane	GO:0005524;GO:0005509;GO:0004687;GO:0016773;GO:0004672	ATP binding;calcium ion binding;myosin light chain kinase activity;phosphotransferase activity, alcohol group as acceptor;protein kinase activity	GO:0009103;GO:0006468	lipopolysaccharide biosynthetic process;protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218720	calcium-dependent protein kinase CDPK6	nucleus - chromatin
TGME49_218780-t26_1	phosphoserine aminotransferase, putative	protein coding gene	TGME49_218780	N/A	N/A	N/A	GO:0004648;GO:0003824	O-phospho-L-serine:2-oxoglutarate aminotransferase activity;catalytic activity	GO:0006564;GO:0008152	L-serine biosynthetic process;metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218780	phosphoserine aminotransferase	unknown
